Sira,Saat,Dakika,Kullanici,Urun,Kod_Tipi,Kod_Icerik,OCR_Metni
1,20:13:51,2,(belirtilmedi),(belirtilmedi),QRCODE,A 961 966 54 20;2025-29116;AVITAS;HAT-4;V3;SN612005;4276491;3431584;7422389,8 4 4 1 8 3 8
2,20:13:54,2,(belirtilmedi),(belirtilmedi),QRCODE,A 961 966 54 20;2025-29116;AVITAS;HAT-4;V3;SN612005;4276491;3431584;7422389,1 7
3,20:14:10,3,(belirtilmedi),(belirtilmedi),QRCODE,A 961 966 54 20;2025-29116;AVITAS;HAT-4;V3;SN612005;4276491;3431584;7422389,2 6 < 1 8 3 8
4,20:15:32,4,(belirtilmedi),(belirtilmedi),QRCODE,A 961 966 54 20;2025-29116;AVITAS;HAT-4;V3;SN612005;4276491;3431584;7422389,R 4 < 1 3 3
5,20:15:42,4,(belirtilmedi),(belirtilmedi),QRCODE,A 961 447 24 62;2024-41856;AVITAS;HAT-1;V2;SN976033;3320249;7115618;2810153,
6,20:16:18,5,(belirtilmedi),(belirtilmedi),QRCODE,A 961 253 96 56;2026-60354;AVITAS;HAT-4;V2;SN192809;6167582;8516126;0728842,
7,20:16:38,5,(belirtilmedi),(belirtilmedi),QRCODE,A 961 476 96 80;2024-62582;AVITAS;HAT-1;V2;SN517159;7748104;6171823;2148328,8 < 8
8,20:16:46,5,(belirtilmedi),(belirtilmedi),QRCODE,A 961 471 47 27;2024-37263;AVITAS;HAT-1;V3;SN624932;2127853;0498402;3295965,6 ' 5 5
9,20:17:09,5,(belirtilmedi),(belirtilmedi),QRCODE,A 961 471 47 27;2024-37263;AVITAS;HAT-1;V3;SN624932;2127853;0498402;3295965,` 7 - 8 6 8
10,20:24:02,12,(belirtilmedi),(belirtilmedi),QRCODE,A 961 700 41 39;2026-68897;AVITAS;HAT-1;V1;SN193461;4383373;8618111;7976452,
1,21:00:05,2,(belirtilmedi),(belirtilmedi),QRCODE,A 961 987 82 79;2026-57312;AVITAS;HAT-3;V2;SN265260;3200157;7708390;3371430,2
2,21:00:07,2,(belirtilmedi),(belirtilmedi),QRCODE,A 961 987 82 79;2026-57312;AVITAS;HAT-3;V2;SN265260;3200157;7708390;3371430,
3,21:00:18,2,(belirtilmedi),(belirtilmedi),QRCODE,A 961 987 82 79;2026-57312;AVITAS;HAT-3;V2;SN265260;3200157;7708390;3371430,9 8 1 8 ğ
1,21:11:56,1,(belirtilmedi),(belirtilmedi),QRCODE,A 961 987 82 79;2026-57312;AVITAS;HAT-3;V2;SN265260;3200157;7708390;3371430,2 2 1 8 6
2,21:12:01,1,(belirtilmedi),(belirtilmedi),QRCODE,A 961 987 82 79;2026-57312;AVITAS;HAT-3;V2;SN265260;3200157;7708390;3371430,2 2 1 3 '
3,21:12:06,1,(belirtilmedi),(belirtilmedi),QRCODE,A 961 987 82 79;2026-57312;AVITAS;HAT-3;V2;SN265260;3200157;7708390;3371430,5 2 4 0;
1,21:28:09,3,(belirtilmedi),(belirtilmedi),QRCODE,A 961 736 63 40;2024-11457;AVITAS;HAT-1;V2;SN932026;8449327;5338948;1894926,L 'a 2 89 22 4 2 0 45 25 * 7
2,21:29:26,4,(belirtilmedi),(belirtilmedi),QRCODE,A 961 613 81 45;2022-78283;AVITAS;HAT-7;V1;SN686171;1915577;7617347;7391395,"2 5ı 820 4  6 5 ; 4, r 5 ; u 4 0 < Yod ? F  3 # 3 6 Er"
3,21:30:59,6,(belirtilmedi),(belirtilmedi),QRCODE,A 961 960 41 49;2024-61256;AVITAS;HAT-7;V2;SN755707;0599795;3255634;8982148,Es 9 4 8 2 8 2 5 { F 4{ ~8sr
4,21:32:16,7,(belirtilmedi),(belirtilmedi),QRCODE,A 961 813 19 96;2025-67701;AVITAS;HAT-3;V2;SN393308;8613094;9091754;4019216,@ie 0 5 2 7 4 1 5 1 2 7 9 7 7 2a 5 K c 05
5,21:33:50,9,(belirtilmedi),(belirtilmedi),QRCODE,A 961 463 93 88;2025-28139;AVITAS;HAT-7;V1;SN514205;9267289;0112211;1418774,[@5  0  0 1 5  0 1 s 4 e 3 04 A s 6 0 40 3
6,21:35:05,10,(belirtilmedi),(belirtilmedi),QRCODE,A 961 376 66 82;2024-49432;AVITAS;HAT-8;V3;SN083653;6034606;0395089;9958082,7 25 8 3 9: 1 i 4ğ Dxz 0 0 7 9 8* 3 2 <
7,21:36:14,11,(belirtilmedi),(belirtilmedi),QRCODE,A 961 351 87 15;2023-32548;AVITAS;HAT-8;V2;SN593705;7474850;7694987;8176764,@ews 2 4; F 8  + Lr # 8 2 1 4 1 5  ; 0 [ 0 K (yescf D Q 7
8,21:37:06,12,(belirtilmedi),(belirtilmedi),QRCODE,A 961 698 28 57;2023-54257;AVITAS;HAT-5;V3;SN304519;4613065;7230130;2488636,1 @eg 1 9 [ 2 81 0 H 0 4 05 4 961 698 28 57 202) 8425/  8
9,21:38:08,13,(belirtilmedi),(belirtilmedi),QRCODE,A 961 924 96 69;2022-26394;AVITAS;HAT-7;V2;SN337905;5093048;9762798;0666449,4 8 1 8 7 7 1 v 4 # 1 ; < @ 44 62 4 @
10,21:39:52,15,(belirtilmedi),(belirtilmedi),QRCODE,A 961 726 13 60;2024-69669;AVITAS;HAT-8;V1;SN176414;0632571;7385623;0795341,0 88 @  9 8 2 5 8 0 5 2 1 4 0 2 3 0 DY 3  78e 8 45 C>
11,21:40:50,16,(belirtilmedi),(belirtilmedi),QRCODE,A 961 192 59 54;2024-58478;AVITAS;HAT-3;V3;SN605358;1907732;0604868;4017650,9 0 @ aa A 0 Pn { [0nx 0 4 981 182 88 54 1024 50478 82 4 0 5ğ 8
12,21:41:43,16,(belirtilmedi),(belirtilmedi),QRCODE,A 961 993 45 12;2026-19921;AVITAS;HAT-2;V2;SN689574;8858543;2889185;3392031,4 961 993 45 12 2026-19921 Dey I: @ 7 1 7 2 3 5 s 9 4 6 3
